ID,Name,Proponent,Project Type,AFOLU Activities,Methodology,Status,Country/Area,Estimated Annual Emission Reductions,Region,Project Registration Date,Crediting Period Start Date,Crediting Period End Date
2469,Afforestation and restoration of degraded forests in Eastern Paraguay or Forestal Azul Carbon Project,Forestal Azul S.A.,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,Paraguay,"14,248",Latin America,2023-03-15,2018-06-01,2028-05-31
2464,Nanning Landfill Gas Power Generation Project,"Guangxi Ruirong Energy Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"231,811",Asia,2021-06-24,2020-04-03,2030-04-02
2461,Convergence Energy Services Ltd. (CESL) EV Charging Infrastructure Project,Convergence Energy Services Limited,Energy distribution; Energy industries (renewable/non-renewable sources); Transport,,VM0038,Registered,India,"12,334",Asia,2024-01-03,2019-04-12,2029-04-11
2460,GZL ENERGY BIOGAS PLANT,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-I.D.; AMS-III.D.,Registered,Turkey,"52,348",Middle East,2021-08-02,2019-06-30,2029-06-29
2458,Guoluo Grassland Sustainable Management Project,"Qinghai Guanglv Landscaping Co., Ltd.",Agriculture Forestry and Other Land Use,ARR,VM0026,Registered,China,"456,953",Asia,2021-12-18,2016-06-20,2056-06-19
2455,Haicheng Landfill Gas Power Generation Project,"Haicheng Xinzhongshui Environmental Protection Technology Co., Ltd",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"81,914",Asia,2021-08-05,2019-09-09,2029-09-08
2457,BYZ GLOBAL ENERGY BIOGAS PLANT,Multiple Proponents,"Energy industries (renewable/non-renewable sources); Livestock, enteric fermentation, and manure management; Waste handling and disposal",,AMS-I.D.; AMS-III.D.,Registered,Turkey,"50,576",Middle East,2021-12-27,2019-07-30,2029-07-29
2452,Laizhou Landfill Gas Power Generation Project,"Laizhou Xinzhongshui Environmental Protection Technology Co., Ltd.",Energy industries (renewable/non-renewable sources); Waste handling and disposal,,ACM0001,Registered,China,"78,184",Asia,2021-06-24,2019-05-18,2029-05-17
2450,Starsight Energy - Rooftop Solar PV and Efficient Air Conditioners,Starsight Power Utility Limited,Energy demand; Energy industries (renewable/non-renewable sources),,AMS-I.F.; AMS-II.E.,Registered,Nigeria,"4,142",Africa,2021-09-29,2019-07-03,2026-07-02
2451,Shanxi Loufan Afforestation Project,Loufan County Forestry Workstation,Agriculture Forestry and Other Land Use,ARR,AR-ACM0003,Registered,China,"163,968",Asia,2021-12-01,2016-09-30,2076-09-29
2449,Tradewater International Dominican Republic,Tradewater International SRL,Fugitive emissions from production and consumption of halocarbons and sulphur hexafluoride,,VM0016,Registered,Dominican Republic,"4,000",Latin America,2021-06-18,2021-02-19,2031-02-18
2435,Distribution of Improved cook stove - Phase 7,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,999",Asia,2023-06-14,,
2436,Distribution of Improved cook stove - Phase 8,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,627",Asia,2022-10-06,,
2437,Distribution of Improved cook stove - Phase 9,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,196",Asia,2022-12-04,,
2438,Distribution of Improved cook stove - Phase 10,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,619",Asia,2022-09-30,,
2439,Distribution of Improved cook stove - Phase 18,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2023-01-03,,
2440,Distribution of Improved cook stove - Phase 20,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,855",Asia,2022-12-08,,
2441,Distribution of Improved cook stove - Phase 22,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,766",Asia,2024-01-13,,
2442,Distribution of Improved cook stove - Phase 24,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,675",Asia,2022-12-09,,
2443,Distribution of Improved cook stove - Phase 25,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,810",Asia,2022-11-07,,
2444,Distribution of Improved cook stove - Phase 17,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-12-07,,
2446,Distribution of Improved cook stove - Phase 23,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,945",Asia,2022-12-07,,
2447,Distribution of Improved cook stove - Phase 21,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"13,035",Asia,2022-12-04,,
2448,Distribution of Improved cook stove - Phase 19,G K Energy Marketers Pvt. Ltd,Energy demand,,AMS-II.G.,Registered,India,"12,900",Asia,2023-02-06,,
